x-ege,y2bar,y-ege,xy2br,letter
6.0,2,2.0,8.0,W
3.0,6,3.0,8.0,H
4.0,3,5.0,14.0,A
3.0,5,4.0,10.0,O
5.0,5,3.0,10.0,A
3.0,4,3.0,8.0,O
0.0,7,2.0,8.0,I
1.0,7,3.0,7.0,F
3.0,6,7.0,8.0,Q
2.0,5,2.0,5.0,F
11.0,2,4.0,8.0,W
0.0,6,0.0,5.0,L
5.0,4,7.0,9.0,P
5.0,3,7.0,9.0,R
3.0,7,6.0,4.0,I
5.0,3,2.0,9.0,N
6.0,5,6.0,9.0,R
3.0,5,8.0,8.0,I
5.0,3,7.0,9.0,G
0.0,5,0.0,7.0,T
2.0,3,5.0,9.0,R
0.0,5,0.0,10.0,J
3.0,9,6.0,6.0,X
3.0,8,4.0,7.0,X
10.0,4,6.0,7.0,M
6.0,2,7.0,8.0,G
3.0,6,3.0,11.0,K
0.0,1,2.0,5.0,P
3.0,5,3.0,7.0,O
2.0,5,3.0,6.0,D
0.0,4,2.0,6.0,F
2.0,2,12.0,7.0,S
2.0,7,3.0,6.0,I
1.0,5,4.0,2.0,P
1.0,9,7.0,8.0,Z
2.0,9,7.0,8.0,Z
8.0,1,0.0,8.0,W
2.0,6,5.0,9.0,S
4.0,5,4.0,11.0,G
6.0,5,8.0,7.0,B
2.0,6,2.0,3.0,F
4.0,6,5.0,8.0,D
6.0,4,6.0,9.0,R
0.0,6,0.0,5.0,L
3.0,6,4.0,9.0,H
3.0,4,4.0,5.0,Y
4.0,5,9.0,7.0,F
2.0,5,3.0,7.0,R
4.0,3,9.0,8.0,G
10.0,4,4.0,8.0,Y
3.0,5,6.0,9.0,Q
3.0,5,4.0,7.0,P
4.0,6,4.0,5.0,Y
0.0,6,0.0,8.0,T
0.0,7,2.0,8.0,I
1.0,8,7.0,10.0,Z
2.0,7,5.0,9.0,S
1.0,7,1.0,10.0,J
3.0,7,2.0,9.0,U
0.0,8,1.0,9.0,I
8.0,5,2.0,7.0,M
3.0,1,2.0,11.0,K
2.0,8,4.0,10.0,E
3.0,9,8.0,6.0,Z
8.0,1,4.0,8.0,O
6.0,3,2.0,8.0,W
2.0,7,2.0,12.0,C
3.0,6,2.0,10.0,K
3.0,6,3.0,6.0,D
2.0,0,1.0,8.0,A
3.0,7,5.0,7.0,T
3.0,6,3.0,5.0,D
1.0,8,3.0,12.0,C
3.0,6,3.0,8.0,H
2.0,1,0.0,8.0,H
10.0,4,8.0,8.0,K
4.0,4,8.0,8.0,P
5.0,5,3.0,7.0,R
2.0,5,7.0,7.0,B
1.0,4,3.0,3.0,P
0.0,7,4.0,13.0,C
2.0,9,5.0,9.0,E
2.0,6,4.0,9.0,E
1.0,7,5.0,7.0,S
1.0,6,1.0,11.0,J
3.0,9,6.0,8.0,X
6.0,3,1.0,8.0,U
5.0,3,7.0,8.0,G
3.0,9,5.0,9.0,E
0.0,8,1.0,8.0,I
1.0,9,5.0,8.0,Z
4.0,5,4.0,4.0,P
5.0,6,4.0,7.0,H
1.0,6,4.0,9.0,E
11.0,4,5.0,7.0,M
2.0,7,4.0,11.0,G
1.0,4,1.0,6.0,F
1.0,1,1.0,8.0,A
3.0,7,2.0,9.0,U
3.0,1,0.0,8.0,H
2.0,3,4.0,9.0,A
2.0,1,4.0,10.0,Q
3.0,3,0.0,8.0,V
4.0,7,4.0,12.0,K
0.0,8,7.0,12.0,E
2.0,4,2.0,8.0,O
6.0,6,8.0,11.0,X
3.0,7,4.0,10.0,O
7.0,5,6.0,9.0,R
4.0,8,3.0,8.0,X
3.0,7,3.0,6.0,D
0.0,3,2.0,7.0,F
4.0,4,5.0,6.0,G
3.0,6,5.0,8.0,R
0.0,9,1.0,3.0,L
11.0,3,5.0,10.0,G
3.0,3,7.0,11.0,Q
2.0,5,5.0,8.0,G
0.0,6,1.0,8.0,J
2.0,7,1.0,8.0,T
3.0,5,3.0,6.0,N
2.0,5,4.0,13.0,G
1.0,8,2.0,9.0,Y
1.0,8,2.0,8.0,L
3.0,3,7.0,9.0,Y
3.0,5,2.0,7.0,H
1.0,8,2.0,8.0,Y
1.0,6,3.0,5.0,F
3.0,7,5.0,11.0,K
3.0,7,7.0,5.0,B
2.0,6,3.0,6.0,D
3.0,6,1.0,8.0,T
2.0,6,1.0,8.0,T
1.0,3,0.0,8.0,Y
2.0,4,3.0,9.0,O
3.0,7,3.0,9.0,U
3.0,7,4.0,14.0,C
6.0,7,4.0,5.0,H
6.0,7,2.0,11.0,N
3.0,6,4.0,7.0,Y
3.0,5,3.0,8.0,O
2.0,6,9.0,8.0,S
1.0,1,0.0,8.0,Y
0.0,6,0.0,7.0,T
1.0,5,1.0,5.0,T
0.0,5,0.0,9.0,J
4.0,6,6.0,7.0,D
3.0,6,1.0,9.0,U
2.0,7,5.0,9.0,G
1.0,11,4.0,12.0,C
3.0,8,4.0,8.0,X
7.0,3,6.0,8.0,Y
1.0,7,4.0,13.0,C
5.0,6,4.0,7.0,H
1.0,1,0.0,8.0,Y
2.0,7,3.0,5.0,F
1.0,9,5.0,8.0,Z
3.0,5,3.0,8.0,O
3.0,8,5.0,11.0,K
7.0,3,1.0,9.0,W
2.0,5,6.0,6.0,B
0.0,4,0.0,4.0,L
2.0,3,3.0,7.0,A
2.0,7,4.0,13.0,C
3.0,8,3.0,5.0,D
2.0,8,5.0,8.0,S
3.0,3,3.0,11.0,K
0.0,6,1.0,8.0,J
3.0,4,1.0,8.0,V
4.0,5,6.0,10.0,Q
2.0,5,6.0,5.0,B
1.0,8,4.0,14.0,C
6.0,5,7.0,10.0,L
2.0,8,6.0,9.0,G
8.0,4,3.0,9.0,M
0.0,4,0.0,8.0,T
15.0,2,4.0,8.0,W
8.0,3,1.0,8.0,W
7.0,4,2.0,10.0,M
3.0,1,2.0,11.0,K
1.0,7,1.0,10.0,J
6.0,7,4.0,10.0,K
4.0,2,3.0,11.0,K
2.0,5,4.0,6.0,R
2.0,6,3.0,5.0,F
1.0,7,8.0,10.0,E
13.0,3,5.0,8.0,M
3.0,9,4.0,6.0,D
3.0,1,0.0,8.0,H
4.0,5,6.0,11.0,C
4.0,4,2.0,7.0,N
3.0,2,6.0,12.0,Q
3.0,6,6.0,8.0,R
3.0,5,4.0,8.0,O
8.0,5,2.0,5.0,M
7.0,3,6.0,8.0,R
0.0,7,0.0,8.0,I
1.0,5,1.0,4.0,F
2.0,7,1.0,7.0,T
4.0,3,10.0,8.0,S
7.0,7,6.0,7.0,K
4.0,6,4.0,8.0,H
4.0,6,6.0,8.0,T
0.0,5,6.0,7.0,S
3.0,4,6.0,6.0,F
4.0,5,5.0,10.0,O
2.0,5,5.0,6.0,B
5.0,4,3.0,7.0,U
0.0,14,8.0,8.0,Z
0.0,4,0.0,8.0,I
3.0,10,4.0,6.0,D
6.0,2,1.0,7.0,W
2.0,1,3.0,8.0,A
3.0,3,6.0,10.0,Q
0.0,9,1.0,9.0,L
10.0,5,5.0,10.0,M
4.0,5,7.0,10.0,Q
2.0,4,1.0,8.0,V
1.0,7,3.0,10.0,C
3.0,5,3.0,9.0,H
6.0,4,7.0,8.0,B
2.0,7,3.0,4.0,F
5.0,3,5.0,9.0,O
2.0,5,3.0,11.0,C
2.0,7,4.0,8.0,E
4.0,4,7.0,8.0,E
6.0,4,0.0,8.0,N
1.0,7,7.0,10.0,E
2.0,5,4.0,4.0,P
6.0,5,1.0,7.0,N
3.0,5,4.0,8.0,I
0.0,8,2.0,10.0,L
7.0,4,2.0,10.0,M
0.0,4,0.0,8.0,T
2.0,5,6.0,6.0,B
1.0,8,4.0,8.0,E
3.0,4,4.0,8.0,X
2.0,5,4.0,5.0,P
4.0,1,0.0,8.0,N
4.0,4,6.0,4.0,P
1.0,1,4.0,3.0,P
3.0,3,3.0,9.0,A
2.0,2,1.0,8.0,V
3.0,3,0.0,8.0,V
1.0,7,4.0,14.0,C
3.0,6,3.0,7.0,H
0.0,6,0.0,8.0,T
0.0,7,1.0,6.0,J
8.0,4,7.0,9.0,R
6.0,2,6.0,7.0,P
5.0,4,2.0,7.0,N
5.0,6,3.0,6.0,F
8.0,3,3.0,7.0,W
0.0,7,1.0,8.0,I
0.0,5,0.0,8.0,T
3.0,5,6.0,9.0,R
0.0,4,0.0,12.0,J
7.0,2,2.0,7.0,W
4.0,5,2.0,5.0,V
2.0,4,3.0,8.0,Q
2.0,5,4.0,10.0,G
2.0,5,5.0,7.0,R
3.0,5,7.0,10.0,E
2.0,2,0.0,8.0,V
3.0,2,2.0,11.0,K
3.0,8,2.0,10.0,U
0.0,15,8.0,8.0,Z
2.0,1,0.0,8.0,V
3.0,6,4.0,7.0,H
