alcohol,sulphates,total sulfur dioxide,volatile acidity,qualityred
10.4,0.58,50.0,0.4,5
11.4,0.7,24.0,0.36,8
9.5,0.53,26.0,0.68,5
9.4,0.54,27.0,0.67,5
11.3,0.66,54.0,0.68,6
9.4,0.6,28.0,735.0,5
11.0,0.6,23.0,855.0,6
10.55,0.68,24.0,0.56,7
9.9,0.56,20.0,0.88,5
11.0,0.6,23.0,855.0,6
9.5,0.56,115.0,0.63,5
9.9,0.52,131.0,0.6,5
9.9,0.52,131.0,0.6,5
9.9,0.52,131.0,0.6,5
10.1,0.54,20.0,695.0,5
10.1,0.54,20.0,695.0,5
10.1,0.54,20.0,695.0,5
10.9,0.82,42.0,0.67,6
11.2,0.71,52.0,0.16,6
10.1,0.54,20.0,695.0,5
9.2,0.59,42.0,0.56,5
11.5,0.57,34.0,0.51,6
12.4,0.93,35.0,0.36,6
11.1,0.65,25.0,0.38,6
9.5,0.51,104.0,0.69,5
12.5,0.67,50.0,0.58,6
10.5,0.48,92.0,0.31,6
11.8,0.64,20.0,0.52,6
10.8,0.78,29.0,0.3,6
11.9,0.6,27.0,0.7,6
11.3,0.67,20.0,0.67,6
11.3,0.6,32.0,0.56,5
11.9,0.6,26.0,0.35,6
11.3,0.6,32.0,0.56,5
11.9,0.5,27.0,715.0,5
9.8,0.62,98.0,0.46,5
11.6,0.8,34.0,0.32,7
11.5,0.84,48.0,0.39,6
11.4,0.85,60.0,0.31,6
10.9,0.66,28.0,0.61,6
12.8,0.78,102.0,0.66,6
9.2,0.54,79.0,725.0,5
11.6,0.82,35.0,0.55,6
11.6,0.56,26.0,0.74,6
11.0,0.75,40.0,0.51,6
9.5,0.82,38.0,0.62,6
10.5,0.58,44.0,0.6,5
11.2,0.76,51.0,0.55,6
11.0,0.75,40.0,0.51,6
10.2,0.71,44.0,645.0,5
11.0,0.66,42.0,0.31,6
